raw_box_txt_format 中 annotation 的数量为：

Category: large-vehicle, Count: 1781
Category: plane, Count: 19984
Category: bridge, Count: 7613
Category: helicopter, Count: 2222
Category: basketball-court, Count: 1976
Category: harbor, Count: 832
Category: small-vehicle, Count: 5034
Category: unknown, Count: 593
Category: baseball-diamond, Count: 694
Category: tennis-court, Count: 1643
Category: ground-track-field, Count: 1085
Category: swimming-pool, Count: 1031
Category: ship, Count: 4117
Category: roundabout, Count: 950
Category: storage-tank, Count: 332
Category: soccer-ball-field, Count: 107
Total annotations: 49994
